full_text,labels,langauge,post type,abusive word,idiomatic express,Source
"Da ka ga sun ce ""Slm"" ""Ykk?"" ta inbox to ko dai ɗan kucilin yaro ne ko 'yar kucilan yarinya ce. Kuma ba harkan samu suka kawo ba! 🤷🏾‍♂️",Neutral,Engausa,social,,,Facebook
mai martaba sarkin kano khaliphan darikar Tijjaniyya na Nigeria malam MUHAMMADU SUNUSI NA BIYU ya ziyarci dan uwansa HON GHALI UMAR NA ABBA a kasar england domin duba lafiyar sa tare dayi masa addua. Ran sarki yadade ALLAH ya saka da alkhari AMEEN.,Neutral,Engausa,social,,,Facebook
Jagaliyanci da rashin sanin Ciwo ko Darajar Kai Sutabbata ga Dan siyasar dayakeso yai takara Kuma yake tallata takararsa tsawon lokaci Amma ya kasa siyan foarm Kuma ya rasa me Siyasa Masa!!,Neutral,Hausa,political,,,Facebook
"Kalmar da ake yayi a yau a siyasar Jos nada ma’ana. #NoworkNovote, Amma abin tsoron shine, mecece manufar. Kada wani yayi amfani da fushin da kuke ciki yaci mutuncin wasu!",Neutral,Engausa,political,,,Facebook
"mutane sai suyita sa wa'azi a status, bayan kuma yan kutumar uba ne a gaske",negative,Engausa,social,yan kutumar uba,,Facebook
"Uber da bolt zasu maye gurbin Dan sahu, dama ga matasa masu mota, mussaman dalibai Yan jami'a.",Neutral,Engausa,education,,,Facebook
"Sana'ar da ka ke kan yin ta, ka ke sonta kuma take rufa maka asiri ita ce ta fi kowacce sana'a daraja.",positive,Hausa,social,,,Facebook
Mutane a kasashen Turai na ci gaba da fama da tsananin zafi wanda ba su taba ganin irinsa ba a tarihi. A Burtaniya ana sa ran yau Litinin za a samu digiri 40C wanda ba a taba samun hakan ba. Mutane na fita wurare domin samun iska da walwala.,neutral,Hausa,social,,,Facebook
Chairman: Kashmir Wearers Association of Nigeria (KWAN) na yi muku barka da zagayowar ranar Monday.,neutral,Engausa,social,,,Facebook
Wato ‘kwarewa a wajan dinner akwai takaici. Kano so zage ka yi tari amma ba dama sai dai ka yi na y’an gayu.,neutral,Hausa,social,,,Facebook
"Sadaki shi ne dole cikin lamarin aure, kuma sadakin ma kansa Shari'a ta yarje maka a ɗaura aure a kaima amarya a bika bashin sadakin.",positive,Hausa,social,,,Facebook
"every time open your leg, open your leg kafar uwarka NE???",Negative,Engausa,social,uwarka,,Facebook
"Tabbas Yatakarawargani wajen samawa matasa aikinyi ,Wannan shine tsohon Accounter Genaral tare da wasu daga cikin mutanen Da yasamawa aikinyi.Allah Yasaka masa da Alkhairi Ameen.",Neutral,Engausa,social,,,Facebook
Yan Biredi zasu tafi yajin Aiki ranar Laraba.😭,Neutral,Hausa,business,,,Facebook
Kaine kaje hira gurin budurwar ka Sai kaninta yazo yasa hannun sa a aljihun ka ya kwamuso maka 5k ya gudu gida ya zakai dashi?,Neutral,Hausa,social,,,Facebook
Ba'a Gina Aure Akan Kuɗi,positive,Hausa,social,,,Facebook
"Kai, wannan zafin se kace wani sakkwato",Neutral,Hausa,social,,,Facebook
"Kawu Ka'ab Hassan bincike ya nuna wasu matan girarsu cike take fal da gashi, amma kansu kamar gwiwa😂🚶",Neutral,Hausa,social,,,Facebook
Hatta bashi an yarje maka kaci kayi aure.,positive,Hausa,social,,,Facebook
Yau saeda nagoge kayana kala 20 namanta tin Ana farko nacire socket din. Kuma ni Babu abin da nakesha,Neutral,Engausa,social,,,Facebook
"ba wani dan kutumar uba da zai zo yace mana mahaifan Annabi suna wuta kuma mu yarda, ko waye shi , Hadisin wofi",negative,Hausa,religious,dan kutumar uba,,Facebook
TO KO WAYE DANTAKAR SANATA A APC KANO TA AREWA Oho,Neutral,Hausa,social,,,Facebook
16-07-2022 WEEDING Mataimakin gwamnan jihar Jigawa kuma dan takarar gwamnan jiha na jamiyyar APC Mallam Umar Namadi na daga cikin muhimman mutane da suka halarci adduar daurin auren ya’yan mai sharia Musa Ubale dana Alhaji ALiyu Umar Baro wanda aka gudanar a masalacin Yalleman,Neutral,Engausa,social,,,Facebook
Kwankwaso ne ɗan takarata a shugaban ƙasa. Ko akwai mai magana ?😎,neutral,Hausa,political,,,Facebook
Ya Allah kaba maifiyata Lafiya. ya Allah kasa ya zamo kaffara agareta.,positive,Hausa,social,,,Facebook
Dole ma a ce gwauraye ba za su gane meye aure ba sai sun yi. Yanzu ya za a yi Mamuda Galadanci ya gane gas yana karewa haka kawai babu notice ana karshen tsakiyar wata? 😭,Neutral,Engausa,social,,,Facebook
"Ku faɗa muna tambayoyin da kuke buƙatar amsa, za mu miƙa tambayoyin ga masana su amsa a filinmu na Amsoshin Takardunku wanda Awwal Ahmad Janyau zai gabatar.",Neutral,Hausa,social,,,Facebook
"Wai Kperogi ne yake cewa Tinubu ba cikkaken Musulmi bane, wai kura ce zata cewa da kare maye!",negative,Hausa,social,maye,,Facebook
"Allah Kadai Yasan ladan da Attajirai ke samu idan suka tafiyar da dukiyansu Akan daidai.But, they're fure amongst them who knows that.",positive,Engausa,social,,,Facebook
"Na rawaito daga wanda na aminta da shi daga ma'aikatan gidan dan Kande cewa a wannan sallar da gwamnanmu ya ziyarci yan kurkuku domin ya fitar da wasunsu aka tarasu aka kunna taken Najeriya, kawai sai suka dinga ihu ""Kwankwaso... Kwankwaso... Kwankwaso."" Take gwamna ya ce a ragesu.",Neutral,Hausa,political,,,Facebook
"Idan kuma kana magana Akan mutanan kirki, wanda suka karar da rayiwarsu wajan taimakon Al'uma. Zakaji kullum ana yabansu saboda kyawawan aikinsu. Misali Mati Ali MD jigawa state radio broadcasting",Neutral,Engausa,social,,,Facebook
"Wani lokacin idan na tuna ni kadai ne bani da kowa, nakan shiga daki na dauki filo na nayi kuka kadan, sai kuma nashare hawaye na nakuma cigaba da lamura na abina.Hakan yana karamin karfin gwiwa sosai. 💪💪💪",Neutral,Hausa,social,,,Facebook
every day English Let speak Hausa today. Ubanka,negative,Engausa,social,ubanka,,Facebook
"Babu Wanda aka batawa babu Wanda zaa bawa hakuri, a cigaba da tafiya a haka kawai, ai kowa ya taya yaki sarki ya taka.",Neutral,Hausa,social,,,Facebook
"Ni fa ta kan ""Mai Uwa da Wabi"" nake operation ""No work no vote"" ya shafi kowa from top to bottom! Ba wani nake wa campaign ba.",Neutral,Engausa,social,,,Facebook
Ita dai matsalar ....... Tafi yawan reeetoo 🎶🎵🎶 only A fada A Cika University students can relate,neutral,Engausa,social,,,Facebook
Akwai kura a Kujerar Reps nagaya! Case fa is reverse! 🤣🤣🤷,Neutral,Engausa,political,,,Facebook
Muna Barar  Ba adadi  Astagfirullah ba adadi. Allah ya zaunar damu lafia,positive,Hausa,social,,,Facebook
"To Jama'a ga Bayan Sallah ta zo, ba Lagos ba Auren. Oh! Ni Zaidu",neutral,Hausa,social,,,Facebook
"Wato duk yadda mutum Mai basira da Lissafi da hangen nesa yake, wannan bawan Allahn Yakai. Maigirma gwamna,Alh. Muhammad Badaru Abubakar, Gwamnan jihar Jigawa.",neutral,Hausa,political,,,Facebook
Allah ya jiqan talakan Nigeria 😢,positive,Hausa,social,,,Facebook
"Da Dumi-Dumi, Gwamna wike ya shiga tattaunawar sulhu da Alh Atiku Abubakar. Allah ya bawa PDP Nasara 🤲",Neutral,Hausa,political,,,Facebook
ZAMUJE WAJAN ZABE NIDA JAMAATA DOMIN ZABAR MAI SAWABA,Neutral,Hausa,political,,,Facebook
Wasu Mutanen ba Mutanen kirki bane rabuwa dasu shi yafi Allhairi. Ya Allah Ka raba mu da duk wani mai bin mu da Sharri Ameen,positive,Hausa,social,,,Facebook
"Suna lissafi muna addu'a. Sun dogara ga ƙwaƙwalwarsu, mun dogara ga Allah.",positive,Hausa,social,,,Facebook
APC Bata yi min riƙon da zan saka mata da sak ba. 😎,Neutral,Hausa,political,,,Facebook
Sayarwa NNPC akayi ko cefanarwa ?,Neutral,Hausa,political,,,Facebook
Sai Kaga Ma'aikaci Yafi Ma'aikatar Dayake Aiki Kuɗi Wani Abu Sai Nigeria🤔,Neutral,Hausa,political,,,Facebook
"Zaman lafiya, aminta da juna, da kuma kamanta daidaito tsakanin mutane shine jigon kowacce ingantacciyar al'umma",positive,Hausa,social,,,Facebook
Ina wadanda suka ki zabar Atiku saboda zai siyar da NNPC a 2019? To Buhari ya siyar da kamfanin babanku.,positive,Hausa,political,banbanku,,Facebook
Mun mayar da kamfanin NNPC hannun 'yan kasuwa - Buhari 👉 https://bbc.in/3aMozz5,positive,Hausa,political,,,Facebook
Mutanen nan fah Y’an 419 ne na gaske..Wai NNPC LTD.😅😅😅,neutral,Engausa,political,,,Facebook
Shi Atiku Abubakar Munafunci ne bai iyaba shiyasa ya fito karara ya shaidama al’ummar najeriya zaya maida NNPC hannun “yan kasuwa.,positive,Hausa,political,,,Facebook
"Yau Talata 19 ga watan nan Na Yuli anyi ƙarin kuɗin man Fetur, kuma anyi ƙarin a matakin zone-zone.👇",positive,Engausa,social,,,Facebook
Yan Nigeria akwai Hakuri 😢,neutral,Hausa,social,,,Facebook
"Mu sam sabon farashin dinmu na fetur, Diesel kam daman shi ba'ace komai, dan ko mu masu sana'ar man ma qaniyarmu yake ci since .",positive,Engausa,business,,,Facebook
"Jama'a Buhari Ya siyar da NNPC! Ina Allah wadai, amma Normal ne a cigaba da tafiya a haka kawai 🙌",neutral,Engausa,political,,,Facebook
Mutum Dubu Saba'in Allah Ya sa Dani Dakai Dake Aciki.,neutral,Hausa,social,,,Facebook
Ba shakka Buhari ya kafa tarihi a hankali ya cika burin abokin hammayarshi Atiku,neutral,Hausa,political,,,Facebook
"Buhari ba siyar da NNPC yayi ba kamar yadda wasu ke fada. Ya mayar dashi hanun ƴan kasuwa ne ta yanda zai rika samar da riba ta hanyar kasuwanci. An yi hakan ne don samarwa kasa kudin shiga. A yadda gidajen jaridu ke rabutawa kenan. Allah yasa hakan ne mafi alkhairi, Allah yasa alkhairi. Ameen Ameen",positive,Hausa,political,,,Facebook
Yanzu fa kusan ince yanda aka dama haka za mu shaa. Su 'yan Kasuwa ba ruwansu!,Neutral,Hausa,social,,yanda aka dama haka za'a sha,Facebook
"Wahalar nan da ake ciki fa,ita batasan Jam’iyya ba.Don Allah idan har yanzu baka gasu ba,ka sake jefa musu kuri’arka.🙏🏼",neutral,Hausa,political,,,Facebook
MAGANA TA GASKIYA YA KAMATA A ZAUNA DOMIN IYA DALIBAN JAMI'A ZASU IYA JAWOWA JAM'IYYAR APC MATSALA.,positive,Hausa,education,,,Facebook
Kutumar uba waidamahaka Hindi take dadadi bura'uba.,negative,Hausa,social,"kutumar uba, bura'uba",,Facebook
GWAMNATIN NIGERIYA TA SAYAR DA NNPC....TALAKA YAKI ZABAR ATIKU SABODA ANCE MASA ZAI SAYAR DA NNPC. TOH GASHI WALIY BUHARI YA SAYAR TA!,positive,Hausa,political,,,Facebook
"Kaje ka wuni akan kayi register zaɓe yafi ace kana fita kasuwa ka samu ribar 100,000 'yan kasa nagari ne zasu fahimci hakan 😏",positive,Engausa,political,,,Facebook
KABIRU GAYA: Sanatan Da Ya Fi Kowane Sanata Aiki A Babbar Riga,positive,Hausa,political,,,Facebook
"Baba Buhari mai gaskiya kaman littafi, Caterpillar uban aiki, ya gama aikinsa ya shiga na Atiku gadan-gadan.😂",Neutral,Engausa,political,,,Facebook
"Jiya Gomna yaje Darazo kuma ina da dan abin fada akai, amma ko da yake maga wasu yan garinmu basu jin dadin abin da nake fada shikenan. Bari na kame baki na nayi shiru kawai 🚶🏾",Neutral,Hausa,social,,,Facebook
"Daga lokacin da ka bama ALQUR'ANI ragamar rayuwar ka, daga lokacin zaka fara rayuwa babu tuntube.",positive,Hausa,religious,,,Facebook
Kuma wlh malam yace yanxu mukafara pdp saboda Bata uabnka baceba kuma bakai kakawotaba wlh kaima zuwa kayi kasamaita munafiki ai nasan pdp ta ubanka baceba ko kuma ba Gado gidankubaceba ko to yanxu mukafara wlh kawai kaje kasami jamaa kaji,negative,Hausa,political,"ubanka,  munafiki",,Facebook
Kwana kin nan harta kai bana iya chin Abinci sabida halin da Nigeria take ciki,neutral,Hausa,social,,,Facebook
Allah ya kawo Mana dauki,positive,Hausa,social,,,Facebook
Noor Saad Tabbas zaku' sha grammar a gurin komarawan Professors da zasu bayyana zaben 2023,neutral,Engausa,political,,,Facebook
"Anata Kulle Kamfanoni A Kasashen Turawa, Saboda Tsadar Gas.",positive,Hausa,social,,,Facebook
Ina tausayin Macen dake tunanin duk Namiji Mai Mota mai Kudi ne 🤦‍♀️,positive,Hausa,social,,,Facebook
Bahari ya gama aikin sa ya shiga aikin Atiku gadan-gadan.,neutral,Hausa,political,,,Facebook
"Satan Fasaha: Atiku yace zai sayar da NNPC, toh sun Rigashi seyarwa.Hmm",Neutral,Hausa,political,,,Facebook
Daga shafin Artist. Ni kuma nace faƙat za a ruwan ido na tashin hankali wani sai ya samu dubu wata ma hakan nan. Abin dariya sosai 😂😂😂,Neutral,Hausa,social,,,Facebook
"Saura NUC kuma, shi ma ilimin ya koma hannun 'yan kasuwa kowa ma huta. Ah to ai naga Buhari ne dan uwan Tinubu wnd sukeson ya mulki kasar",positive,Hausa,education,,,Facebook
